id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
667;;;;;;84007;;20190425115906;20190425115906;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844811.3771135419;6315345.715486384;4.8031854371892395;43.92223398874966;43.92223398874966;4.8031854371892395
669;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845256.3061306651;6315191.150360662;4.808679663451702;43.920751774623064;43.920751774623064;4.808679663451702
670;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844785.365513235;6315179.352100555;4.802814366419385;43.92074253713822;43.92074253713822;4.802814366419385
672;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844850.3747182643;6315234.70098523;4.80363929519575;43.921227159828334;43.921227159828334;4.80363929519575
807;;;;;;84007;;20190426151440;20190426151440;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;849567.5242453541;6315888.522452089;4.862546576160925;43.9261242218419;43.9261242218419;4.862546576160925
673;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844399.2694307483;6315256.397114559;4.798030344171996;43.921514942070054;43.921514942070054;4.798030344171996
674;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844459.1317437836;6315766.176970803;4.7989200671980194;43.92608925084112;43.92608925084112;4.7989200671980194
675;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844451.7677290848;6315749.073452793;4.79882354519743;43.92593687697887;43.92593687697887;4.79882354519743
676;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844444.6016717703;6315614.224882554;4.798696093913567;43.9247250889093;43.9247250889093;4.798696093913567
677;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844468.871247095;6315764.989226494;4.79904097235184;43.92607656773305;43.92607656773305;4.79904097235184
678;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844455.3309620038;6315799.512994329;4.7988822087795615;43.926389960427144;43.926389960427144;4.7988822087795615
679;;;;;;84007;;20190425121358;20190425121358;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844443.3743359873;6315595.616888423;4.7986755384884;43.924557921058074;43.924557921058074;4.7986755384884
682;;;;;;84007;;20190425122043;20190425122043;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845885.8711087126;6318056.298338866;4.817336961801353;43.94639997245995;43.94639997245995;4.817336961801353
680;;;;;;84007;;20190425121358;20190524120819;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;844781.2084081636;6315380.991492288;4.802819935283271;43.9225575713067;43.9225575713067;4.802819935283271
